,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
140,Tomás Rosicky,Attacking Midfield,25,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2006-2007,11000000.0,10000000
141,Francesco Tavano,Centre-Forward,27,FC Empoli,Serie A,Valencia CF,LaLiga,2006-2007,8500000.0,10000000
142,Stiliyan Petrov,Central Midfield,27,Celtic,Premiership,Aston Villa,Premier League,2006-2007,7350000.0,10000000
143,Pascal Chimbonda,Right-Back,27,Wigan,Premier League,Spurs,Premier League,2006-2007,4000000.0,10000000
144,Patrick Vieira,Defensive Midfield,30,Juventus,Serie B,Inter,Serie A,2006-2007,28000000.0,9500000
145,Jermaine Pennant,Right Winger,23,Birmingham,Championship,Liverpool,Premier League,2006-2007,5500000.0,9100000
146,Maniche,Central Midfield,28,Dinamo Moscow,Premier Liga,Atlético Madrid,LaLiga,2006-2007,13000000.0,9000000
147,Craig Bellamy,Left Winger,26,Blackburn,Premier League,Liverpool,Premier League,2006-2007,9000000.0,9000000
148,Fernando Cavenaghi,Centre-Forward,23,Spartak Moscow,Premier Liga,G. Bordeaux,Ligue 1,2006-2007,6500000.0,9000000
149,Arouna Koné,Centre-Forward,22,Roda JC,Eredivisie,PSV Eindhoven,Eredivisie,2006-2007,6000000.0,9000000
150,Wagner,Attacking Midfield,21,Cruzeiro,Série A,Ittihad, Saudi Arabia,2006-2007,6000000.0,9000000
151,Javier Chevantón,Centre-Forward,25,Monaco,Ligue 1,Sevilla FC,LaLiga,2006-2007,7000000.0,8900000
152,Robert Huth,Centre-Back,21,Chelsea,Premier League,Middlesbrough,Premier League,2006-2007,2750000.0,8900000
153,Amauri,Centre-Forward,26,Chievo Verona,Serie A,US Palermo,Serie A,2006-2007,4000000.0,8750000
154,Matías Fernández,Attacking Midfield,20,Colo Colo, Chile,Villarreal CF,LaLiga,2006-2007,11000000.0,8700000
155,Rafael Sóbis,Centre-Forward,21,Internacional,Série A,Real Betis,LaLiga,2006-2007,7500000.0,8500000
156,Daniel Van Buyten,Centre-Back,28,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2006-2007,14000000.0,8000000
157,Adrian Mutu,Centre-Forward,27,Juventus,Serie B,Fiorentina,Serie A,2006-2007,11000000.0,8000000
158,Kim Källström,Defensive Midfield,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7500000.0,8000000
159,Nilmar,Centre-Forward,21,Olympique Lyon,Ligue 1,Corinthians,Série A,2006-2007,6000000.0,8000000
160,Massimo Oddo,Right-Back,30,Lazio,Serie A,AC Milan,Serie A,2006-2007,10000000.0,7750000
161,Ronaldo,Centre-Forward,30,Real Madrid,LaLiga,AC Milan,Serie A,2006-2007,27500000.0,7500000
162,Asier del Horno,Left-Back,25,Chelsea,Premier League,Valencia CF,LaLiga,2006-2007,12000000.0,7500000
163,Fatih Tekke,Centre-Forward,28,Trabzonspor,Süper Lig,Zenit S-Pb,Premier Liga,2006-2007,8250000.0,7500000
164,Emile Heskey,Centre-Forward,28,Birmingham,Championship,Wigan,Premier League,2006-2007,5500000.0,7500000
165,Diego Lugano,Centre-Back,25,São Paulo,Série A,Fenerbahce,Süper Lig,2006-2007,3750000.0,7500000
166,Ederson,Attacking Midfield,20,Juventude,Série A,OGC Nice,Ligue 1,2006-2007,1500000.0,7500000
167,Ashley Cole,Left-Back,25,Arsenal,Premier League,Chelsea,Premier League,2006-2007,17000000.0,7400000
168,Fabio Cannavaro,Centre-Back,32,Juventus,Serie B,Real Madrid,LaLiga,2006-2007,14000000.0,7000000
169,Mateja Kezman,Centre-Forward,27,Atlético Madrid,LaLiga,Fenerbahce,Süper Lig,2006-2007,12500000.0,7000000
170,Alejandro Domínguez,Attacking Midfield,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,7000000.0,7000000
171,Jérémy Toulalan,Defensive Midfield,22,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,7000000.0,7000000
172,Maicon,Right-Back,24,Monaco,Ligue 1,Inter,Serie A,2006-2007,7000000.0,6800000
173,Luís Boa Morte,Left Midfield,29,Fulham,Premier League,West Ham,Premier League,2006-2007,3500000.0,6800000
174,Mido,Centre-Forward,23,AS Roma,Serie A,Spurs,Premier League,2006-2007,10500000.0,6750000
175,Joleon Lescott,Centre-Back,23,Wolves,Championship,Everton,Premier League,2006-2007,8000000.0,6500000
176,Marcelo,Left-Back,18,Fluminense,Série A,Real Madrid,LaLiga,2006-2007,6500000.0,6500000
177,Stefan Kießling,Centre-Forward,22,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2006-2007,5000000.0,6500000
